    ---------------------------------------------------------------------------,,,,,,,
    *                                                                      ,,,,,,,
    * Data units = mm                            ,,,,,,,
    * TOP/BOTTOM,REFDES,PCB_x,PCB_y,ROTATION,VALUE,FOOTPRINT,
   SMD_TOP,C1991,152.1,40.4,0,22uF,RC2012,
   SMD_TOP,C1992,144.9,38.7,180,680pF,RC1608,
   SMD_TOP,C1993,145.2,40.4,0,22uF,RC2012,
   SMD_TOP,C1994,142.1,38.7,0,680pF,RC1608,
   SMD_TOP,C1995,141.8,40.4,180,22uF,RC2012,
   SMD_TOP,C1996,138,39.8,270,1uF,CC1608,
   SMD_TOP,C1997,135.2,42.8,270,1uF,CC1608,
   SMD_TOP,C1998,135.2,39.8,90,1uF,CC1608,
   SMD_TOP,C1999,138,42.8,90,1uF,CC1608,
   SMD_TOP,C2004,75,56.5,0,1uF,CC1608,
   SMD_TOP,C2005,76.5,61.75,0,1uF,CC1608,
   SMD_TOP,C2006,68,65,90,100nF,CC1005,
   SMD_TOP,C2007,65.5,61.5,180,1uF,CC1608,
   SMD_TOP,C2008,65.5,58.5,180,1nF,CC1005,
   SMD_TOP,C2009,66.2,45,0,1uF,CC1608,
   SMD_TOP,C2010,66.2,48,270,1uF,CC1608,
   SMD_TOP,C2011,59.2,52,90,100nF,CC1005,
   SMD_TOP,C2012,56.7,48.5,180,1uF,CC1608,
   SMD_TOP,C2013,56.7,45.5,180,1nF,CC1005,
   SMD_TOP,C2015,61,58,0,1uF,CC1608,
   SMD_TOP,C2016,61,61,270,1uF,CC1608,
   SMD_TOP,C2017,54,65,90,100nF,CC1005,
   SMD_TOP,C2018,51.5,61.5,180,1uF,CC1608,
   SMD_TOP,C2019,51.5,58.5,180,1nF,CC1005,
   SMD_TOP,C2028,72.75,14.75,0,150pF,CC1005,
   SMD_TOP,C2032,72.75,12.75,0,120pF,RC1005,
   SMD_TOP,C2033,69.75,22.5,90,120pF,RC1005,
   SMD_TOP,C2036,64.5,11.5,90,1nF,CC1005,
   SMD_TOP,C2039,52.5,16.75,0,10uF,TC2012,
   SMD_TOP,C2040,59,9.25,0,10uF,TC2012,
   SMD_TOP,C2041,82.25,7.5,90,10uF,TC2012,
   SMD_TOP,C2042,78.75,4.25,180,10uF,TC2012,
   SMD_TOP,C2043,156.9,12.6,270,10uF,CC2012,
   SMD_TOP,C2044,148.5,7.25,0,10UF,TC3528,
   SMD_TOP,C2045,154,16.4,180,10nF,CC1005,
   SMD_TOP,C2046,95.25,10,270,4.7uF,CC1608,
   SMD_TOP,C2047,109.6,60.2,270,100nF,CC1005,
   SMD_TOP,C242,170.5,71.5,180,100nF,CC1005,
   SMD_TOP,C244,170.5,72.5,180,100nF,CC1005,
   SMD_TOP,C245,170.5,67.5,180,10nF,CC1005,
   SMD_TOP,C249,170.5,61,180,100nF,CC1005,
   SMD_TOP,C251,170.5,62,180,100nF,CC1005,
   SMD_TOP,C252,170.5,57,180,10nF,CC1005,
   SMD_TOP,C256,170.5,50.5,180,100nF,CC1005,
   SMD_TOP,C258,170.5,51.5,180,100nF,CC1005,
   SMD_TOP,C259,170.5,46.5,180,10nF,CC1005,
   SMD_TOP,C263,170.5,40,180,100nF,CC1005,
   SMD_TOP,C265,170.5,41,180,100nF,CC1005,
   SMD_TOP,C266,170.5,36,180,10nF,CC1005,
   SMD_TOP,C270,169.125,20.625,0,100nF,CC1005,
   SMD_TOP,C281,148.6,21.6,180,100nF,CC1005,
   SMD_TOP,C284,148.6,24,180,100nF,CC1005,
   SMD_TOP,C285,148.6,24.8,180,100nF,CC1005,
   SMD_TOP,C287,148.6,22.4,180,100nF,CC1005,
   SMD_TOP,C288,148.6,23.2,180,100nF,CC1005,
   SMD_TOP,C291,148.6,25.6,180,100nF,CC1005,
   SMD_TOP,C293,148.6,26.4,180,100nF,CC1005,
   SMD_TOP,C295,148.6,27.2,180,100nF,CC1005,
   SMD_TOP,C297,148.6,28.8,180,100nF,CC1005,
   SMD_TOP,C299,132.75,41.25,270,100nF,CC1005,
   SMD_TOP,C30,82.75,26.5,90,330uF,TC6032,
   SMD_TOP,C300,148.6,29.6,180,100nF,CC1005,
   SMD_TOP,C301,133.75,41.25,270,100nF,CC1005,
   SMD_TOP,C303,148.6,30.4,180,100nF,CC1005,
   SMD_TOP,C305,148.6,31.2,180,100nF,CC1005,
   SMD_TOP,C308,148.6,32,180,100nF,CC1005,
   SMD_TOP,C313,148.6,32.8,180,100nF,CC1005,
   SMD_TOP,C316,148.6,33.6,180,100nF,CC1005,
   SMD_TOP,C318,148.6,34.4,180,100nF,CC1005,
   SMD_TOP,C323,147.3,16.3,180,100nF,CC1005,
   SMD_TOP,C334,136.7,16.8,0,10uF,TC2012,
   SMD_TOP,C342,147.3,17.9,180,10uF,TC2012,
   SMD_TOP,C396,111.5,99,0,3.3nF,CC2012,
   SMD_TOP,C398,121.5,94.375,180,1uF,CC2012,
   SMD_TOP,C399,114,101.5,0,4.7uF,CC1608,
   SMD_TOP,C4,120,32.5,270,10nF,CC1005,
   SMD_TOP,C400,121.5,96.375,180,1uF,CC2012,
   SMD_TOP,C401,114,102.875,0,150pF,CC1005,
   SMD_TOP,C404,115,99,0,3.3nF,CC2012,
   SMD_TOP,C406,110.25,87,0,3.3nF,CC2012,
   SMD_TOP,C408,121.5,91.625,180,1uF,CC2012,
   SMD_TOP,C409,121.5,89.625,180,1uF,CC2012,
   SMD_TOP,C410,112.75,84,0,4.7uF,CC1608,
   SMD_TOP,C411,112.875,82.625,0,150pF,CC1005,
   SMD_TOP,C414,113.75,87,0,3.3nF,CC2012,
   SMD_TOP,C416,104.25,103,0,820pF,CC3216,
   SMD_TOP,C419,107.5,98.25,180,10nF,CC1005,
   SMD_TOP,C420,101,97.25,270,390pF,CC1005,
   SMD_TOP,C422,101.5,95.75,0,100pF,CC1005,
   SMD_TOP,C423,101.5,98.75,0,100pF,CC1005,
   SMD_TOP,C43,98.75,10,270,4.7uF,CC1608,
   SMD_TOP,C434,104.25,91.5,0,820pF,CC3216,
   SMD_TOP,C44,90.25,10,180,47uF,TC3528,
   SMD_TOP,C444,104.25,89.25,0,820pF,CC3216,
   SMD_TOP,C455,107,86.5,180,10nF,CC1005,
   SMD_TOP,C457,101,82.75,270,390pF,CC1005,
   SMD_TOP,C458,101.5,81.25,0,100pF,CC1005,
   SMD_TOP,C459,101.5,84.25,0,100pF,CC1005,
   SMD_TOP,C46,97,10,270,4.7uF,CC1608,
   SMD_TOP,C460,85.5,92.75,90,100nF,CC1005,
   SMD_TOP,C468,104.5,77.5,0,820pF,CC3216,
   SMD_TOP,C47,100.5,10,270,4.7uF,CC1608,
   SMD_TOP,C494,94.5,92.5,270,100nF,CC1005,
   SMD_TOP,C495,65.25,93.5,90,1nF,CC1005,
   SMD_TOP,C497,93.5,92.5,270,100nF,CC1005,
   SMD_TOP,C499,92.5,92.5,270,100nF,CC1005,
   SMD_TOP,C5,119,36.5,90,10nF,CC1005,
   SMD_TOP,C500,91.5,92.5,270,100nF,CC1005,
   SMD_TOP,C501,74.75,93,90,1nF,CC1005,
   SMD_TOP,C503,65.25,98,90,1nF,CC1005,
   SMD_TOP,C504,73.5,98.75,90,1nF,CC1005,
   SMD_TOP,C529,94.5,77,270,100nF,CC1005,
   SMD_TOP,C531,93.5,77,270,100nF,CC1005,
   SMD_TOP,C532,91.5,77,270,100nF,CC1005,
   SMD_TOP,C534,92.5,77,270,100nF,CC1005,
   SMD_TOP,C539,8.75,31.25,90,150uF,TC6032,
   SMD_TOP,C540,20.75,19.2,0,100nF,CC1005,
   SMD_TOP,C541,20.75,20,0,100nF,CC1005,
   SMD_TOP,C542,3.2,32,0,100nF,CC1005,
   SMD_TOP,C543,3.2,31,0,100nF,CC1005,
   SMD_TOP,C544,14,30,180,100nF,CC1005,
   SMD_TOP,C558,15.6,12.6,90,22uF,CC1608,
   SMD_TOP,C597,31.25,95.625,0,100nF,CC3216,
   SMD_TOP,C598,31.25,98.625,0,100nF,CC3216,
   SMD_TOP,C6,79.25,26.5,90,330uF,TC6032,
   SMD_TOP,C60,120.75,9.5,270,100uF,CC3225,
   SMD_TOP,C603,31.25,106.25,0,100nF,CC3216,
   SMD_TOP,C604,31.25,103.25,0,100nF,CC3216,
   SMD_TOP,C605,31.25,79.125,0,100nF,CC3216,
   SMD_TOP,C606,31.25,82.125,0,100nF,CC3216,
   SMD_TOP,C61,117.25,9.5,270,100uF,CC3225,
   SMD_TOP,C611,31.25,87.875,0,100nF,CC3216,
   SMD_TOP,C612,31.25,90.875,0,100nF,CC3216,
   SMD_TOP,C623,42.25,83.25,0,22uF,TC6032,
   SMD_TOP,C633,75,70.5,0,1uF,CC1608,
   SMD_TOP,C635,75,75,270,1uF,CC1608,
   SMD_TOP,C636,68,78,90,100nF,CC1005,
   SMD_TOP,C637,65.5,74.5,180,1uF,CC1608,
   SMD_TOP,C642,65.5,71.5,180,1nF,CC1005,
   SMD_TOP,C643,114,73.25,90,10nF,CC1005,
   SMD_TOP,C644,101.75,70.25,180,10uF,TC2012,
   SMD_TOP,C645,115.75,73.75,270,10uF,TC2012,
   SMD_TOP,C646,47,58,0,1uF,CC1608,
   SMD_TOP,C647,47,61,270,1uF,CC1608,
   SMD_TOP,C648,40,65,90,100nF,CC1005,
   SMD_TOP,C649,37.5,61.5,180,1uF,CC1608,
   SMD_TOP,C650,37.5,58.5,180,1nF,CC1005,
   SMD_TOP,C655,47,71,0,1uF,CC1608,
   SMD_TOP,C656,47,74,270,1uF,CC1608,
   SMD_TOP,C657,40,78,90,100nF,CC1005,
   SMD_TOP,C659,37.5,74.5,180,1uF,CC1608,
   SMD_TOP,C660,37.5,71.5,180,1nF,CC1005,
   SMD_TOP,C665,38,45,0,1uF,CC1608,
   SMD_TOP,C666,38,48,270,1uF,CC1608,
   SMD_TOP,C667,31,52,90,100nF,CC1005,
   SMD_TOP,C668,28.8,48,270,1uF,CC1608,
   SMD_TOP,C670,29,45.5,180,1nF,CC1005,
   SMD_TOP,C671,57.25,99.5,0,10nF,CC1005,
   SMD_TOP,C672,50,93,0,10nF,CC1005,
   SMD_TOP,C673,41.25,91,180,10uF,TC3528,
   SMD_TOP,C674,44.75,100.5,180,10uF,TC3528,
   SMD_TOP,C675,56.75,92,270,22uF,TC6032,
   SMD_TOP,C676,51.75,83.25,0,22uF,TC6032,
   SMD_TOP,C677,62.75,88,0,10uF,TC3528,
   SMD_TOP,C678,70.5,84.5,270,10nF,CC1005,
   SMD_TOP,C679,73.5,88.25,180,22uF,TC6032,
   SMD_TOP,C680,69.5,106,0,10uF,CC2012,
   SMD_TOP,C681,67,106,90,100nF,CC1005,
   SMD_TOP,C682,73.25,102,270,10uF,CC2012,
   SMD_TOP,C683,71.5,102.25,270,100nF,CC1005,
   SMD_TOP,C684,79,100,0,22pF,CC1005,
   SMD_TOP,C685,56.5,102.75,270,10uF,CC2012,
   SMD_TOP,C686,46,106,180,10uF,CC2012,
   SMD_TOP,C687,56.5,105.75,90,10nF,CC1005,
   SMD_TOP,C692,52,45,0,1uF,CC1608,
   SMD_TOP,C693,52,48,270,1uF,CC1608,
   SMD_TOP,C694,45,52,90,100nF,CC1005,
   SMD_TOP,C695,42.5,48.5,180,1uF,CC1608,
   SMD_TOP,C698,42.5,45.5,180,1nF,CC1005,
   SMD_TOP,C699,30.2,59.4,180,10uF,CC2012,
   SMD_TOP,C7,86.25,26.5,90,330uF,TC6032,
   SMD_TOP,C700,34,59.8,0,10nF,CC1005,
   SMD_TOP,C701,30,64,270,10UF,TC3528,
   SMD_TOP,C704,29.75,32.25,270,1uF,CC1608,
   SMD_TOP,C705,27,31.5,0,1uF,CC1608,
   SMD_TOP,C706,37.75,26.75,270,100nF,CC1005,
   SMD_TOP,C707,38.5,30.25,0,1uF,CC1608,
   SMD_TOP,C708,38.5,33.25,0,1nF,CC1005,
   SMD_TOP,C709,167,100.5,0,4.7uF,CC5750,
   SMD_TOP,C710,167,107.5,0,4.7uF,CC5750,
   SMD_TOP,C711,130.5,107.5,0,4.7uF,CC5750,
   SMD_TOP,C712,130.5,100.5,0,4.7uF,CC5750,
   SMD_TOP,C713,158.5,94,90,100nF/DNI,CC1005,
   SMD_TOP,C714,156.5,93,90,100nF,CC1005,
   SMD_TOP,C715,153.5,93,90,100nF/DNI,CC1005,
   SMD_TOP,C716,155.5,93,90,100nF,CC1005,
   SMD_TOP,C720,111.25,67.25,180,4.7uF,CC1608,
   SMD_TOP,C721,111.75,69,90,100nF,CC1005,
   SMD_TOP,C722,111,60.25,270,4.7uF,CC1608,
   SMD_TOP,C723,108.75,63.25,180,100nF,CC1005,
   SMD_TOP,C724,108.75,64.25,180,100nF,CC1005,
   SMD_TOP,C78,108.75,48,0,10uF,CC2012,
   SMD_TOP,D1,72.75,45.25,180,BL-HG036A-AV-TRB,LED1608,
   SMD_TOP,D10,182.25,21.25,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D11,182.25,18.75,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D12,182.25,16.25,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D13,182.25,13.75,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D14,176,92,90,ES3D,DO-214AB,
   SMD_TOP,D15,139.5,92,270,ES3D,DO-214AB,
   SMD_TOP,D16,176.5,112,180,TFZGTR12B,ZD-TFZ12B,
   SMD_TOP,D17,139,112,0,TFZGTR12B,ZD-TFZ12B,
   SMD_TOP,D2,72.75,43.5,180,BL-HG036A-AV-TRB,LED1608,
   SMD_TOP,D20,38.25,11.25,90,BL-HG036A-AV-TRB,LED1608,
   SMD_TOP,D21,156,55.6,270,BAT54S,SOT-23,
   SMD_TOP,D22,156,66.4,270,BAT54S,SOT-23,
   SMD_TOP,D23,160.6,55.6,270,BAT54S,SOT-23,
   SMD_TOP,D24,160.6,66.4,270,BAT54S,SOT-23,
   SMD_TOP,D25,156,59.2,270,BAT54S,SOT-23,
   SMD_TOP,D26,156,62.8,270,BAT54S,SOT-23,
   SMD_TOP,D27,160.6,59.2,270,BAT54S,SOT-23,
   SMD_TOP,D28,160.6,62.8,270,BAT54S,SOT-23,
   SMD_TOP,D29,160.6,48.4,270,BAT54S,SOT-23,
   SMD_TOP,D3,72.75,41.75,180,BL-HG036A-AV-TRB,LED1608,
   SMD_TOP,D30,160.6,44.8,270,BAT54S,SOT-23,
   SMD_TOP,D31,156,48.4,270,BAT54S,SOT-23,
   SMD_TOP,D32,156,44.8,270,BAT54S,SOT-23,
   SMD_TOP,D33,156,52,270,BAT54S,SOT-23,
   SMD_TOP,D34,160.6,41.2,270,BAT54S,SOT-23,
   SMD_TOP,D35,160.6,52,270,BAT54S,SOT-23,
   SMD_TOP,D36,156,41.2,270,BAT54S,SOT-23,
   SMD_TOP,D4,72.75,40,180,BL-HG036A-AV-TRB,LED1608,
   SMD_TOP,D5,72.75,38.25,180,BL-HG036A-AV-TRB,LED1608,
   SMD_TOP,D6,182.25,31.25,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D7,182.25,28.75,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D8,182.25,26.25,0,MMSZ5235B,SOD-123W,
   SMD_TOP,D9,182.25,23.75,0,MMSZ5235B,SOD-123W,
   SMD_TOP,FB1,85.25,18.25,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB10,170.5,49,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB101,43.5,52,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB102,34.2,58.6,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB103,27.75,29.25,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB105,29,34.5,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB106,31.5,68.5,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB107,69.5,48.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB108,38.5,28.5,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB110,24.5,34.25,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB111,38.5,78,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB114,61,68.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB115,58.5,78,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB116,52.5,78,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB117,72.5,65,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB118,74.25,54,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB119,75.25,58.75,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB12,172,52.75,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB120,66.5,65,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB121,63.7,52,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB122,66.2,42.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB123,63.2,41.25,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB124,57.7,52,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB125,58.5,65,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB126,61,55.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB127,52.5,65,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB128,52.5,14.25,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB129,58.75,7,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB13,170.5,38.5,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB130,74.75,4.25,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB131,154.8,17.8,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB132,148.5,12.25,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB133,120.5,35.75,90,BLM21PG221SN1,BEAD2012,
   SMD_TOP,FB15,172,42.25,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB16,8.75,26,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB4,170.5,70,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB41,21,40,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB42,21,36.75,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB43,21,51.5,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB45,21,47,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB46,21,44,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB47,21.25,55.25,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB48,21.25,58.25,0,BLM41PG600SN1,BEAD4516,
   SMD_TOP,FB49,21.25,69.75,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB50,21.25,98.625,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB51,21.25,95.625,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB52,21.25,62.5,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB53,21.25,65.5,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB54,21.25,106.25,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB55,21.25,103.25,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB56,21.25,82.125,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB57,21.25,79.125,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB6,172,73.5,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB60,21.25,90.875,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB61,21.25,87.875,0,BLM41PG181SN1,BEAD4516,
   SMD_TOP,FB62,114.25,67.25,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB63,175.75,80,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB64,162,80.75,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB66,75,72.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB67,72.5,78,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB68,75,68.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB69,44.5,65,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB7,170.5,59.5,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB70,47,55.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB72,66.5,78,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB73,38.5,65,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB74,102.25,73.75,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB75,118.75,73.75,90,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB78,44.5,78,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB79,47,68.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB81,38,40,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB82,32.4,40.9,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB83,35.5,52,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB85,38,42.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB86,29.5,52,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB87,42.25,87,0,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB88,61.25,95.5,90,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB89,72,84.5,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB9,172,63.25,180,BLM18AG121SN1,BEAD1608,
   SMD_TOP,FB90,59.5,104.25,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB91,59.5,106.75,180,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB95,49,41.5,270,BLM18PG181SN1,BEAD1608,
   SMD_TOP,FB98,49.5,52,180,BLM41PG750SN1,BEAD4516,
   SMD_TOP,FB99,52,42.5,0,BLM18PG181SN1,BEAD1608,
   SMD_TOP,J8,134.25,10,0,BOX-HEADER-14P,2mm/SMD,BOX_HEADER2X7_2MM_SMD
   SMD_TOP,OSC1,103.4,64,0,SLO-G102550ADSR-40MHz,SLO-10,
   SMD_TOP,Q1,176,109,180,FQD7P20TM,TO-252,
   SMD_TOP,Q10,155,96.5,0,TN2524N8,SOT89-B,
   SMD_TOP,Q2,139.5,109,180,FDD120AN15AQ,TO-252,
   SMD_TOP,Q3,193.5,105.25,90,TN2524N8,SOT89-B,
   SMD_TOP,Q4,157.5,105.5,90,TP2520N8,SOT89-B,
   SMD_TOP,Q5,159.5,90,0,MMBT2907(Fairchild),SOT23,
   SMD_TOP,Q6,160,96.5,0,TN2524N8,SOT89-B,
   SMD_TOP,Q7,184.75,102.25,180,FDD120AN15AQ,TO-252,
   SMD_TOP,Q8,148.5,102,180,FQD7P20TM,TO-252,
   SMD_TOP,Q9,154.5,90,0,MMBT2907(Fairchild),SOT23,
   SMD_TOP,R10,94.5,13.75,270,330,RC1005,
   SMD_TOP,R1070,140.4,18.9,180,100,RC1005,
   SMD_TOP,R1071,142.4,18.9,0,100,RC1005,
   SMD_TOP,R11,102.25,11.5,270,10K,RC1005,
   SMD_TOP,R12,93.5,13.75,270,4.7K,RC1005,
   SMD_TOP,R124,111.5,100.5,0,0,RC1005,
   SMD_TOP,R125,111.5,97.5,180,499,RC1005,
   SMD_TOP,R127,118.875,94.875,180,0,RC1005,
   SMD_TOP,R129,118.875,95.875,180,0,RC1005,
   SMD_TOP,R13,96.75,13.25,180,10K,RC1005,
   SMD_TOP,R130,115.875,101.125,90,49.9,RC1005,
   SMD_TOP,R132,115,97.5,180,499,RC1005,
   SMD_TOP,R134,110.25,85.5,0,0,RC1005,
   SMD_TOP,R135,110.5,88.5,180,499,RC1005,
   SMD_TOP,R137,118.875,91.125,180,0,RC1005,
   SMD_TOP,R138,114.75,84.5,270,49.9,RC1005,
   SMD_TOP,R1388,121.4,20.8,0,0,RC1005,
